"payment_id","customer_id","subscription_id","invoice_id","payment_date","amount","currency","payment_method","payment_status","billing_period_start","billing_period_end","failure_reason"
64,6,6,"INV-2021-01-6-1","2022-01-07","949.05","EUR","Card","Paid","2022-01-07","2022-02-05",""
65,6,6,"INV-2021-02-6-2","2022-02-11","949.05","EUR","PayPal","Paid","2022-02-06","2022-03-07",""
66,6,6,"INV-2021-03-6-3","2022-03-13","949.05","EUR","SEPA Direct Debit","Paid","2022-03-08","2022-04-06",""
67,6,6,"INV-2021-04-6-4","2022-04-10","949.05","EUR","PayPal","Paid","2022-04-07","2022-05-06",""
68,6,6,"INV-2021-05-6-5","2022-05-08","949.05","EUR","Bank Transfer","Paid","2022-05-07","2022-06-05",""
69,6,6,"INV-2021-06-6-6","2022-06-09","949.05","EUR","Bank Transfer","Paid","2022-06-06","2022-07-05",""
70,6,6,"INV-2021-07-6-7","2022-07-06","949.05","EUR","PayPal","Paid","2022-07-06","2022-08-04",""
71,6,6,"INV-2021-08-6-8","2022-08-07","949.05","EUR","SEPA Direct Debit","Failed","2022-08-05","2022-09-03","Invalid Account"
72,6,6,"INV-2021-09-6-9","2022-09-04","949.05","EUR","SEPA Direct Debit","Paid","2022-09-04","2022-10-03",""
73,6,6,"INV-2021-10-6-10","2022-10-08","949.05","EUR","PayPal","Paid","2022-10-04","2022-11-02",""
74,6,6,"INV-2021-11-6-11","2022-11-04","949.05","EUR","PayPal","Paid","2022-11-03","2022-12-02",""
75,6,6,"INV-2021-12-6-12","2022-12-05","949.05","EUR","PayPal","Paid","2022-12-03","2023-01-01",""
76,6,6,"INV-2022-01-6-13","2023-01-05","949.05","EUR","Bank Transfer","Failed","2023-01-02","2023-01-31","Card Expired"
77,6,6,"INV-2022-02-6-14","2023-02-05","949.05","EUR","PayPal","Paid","2023-02-01","2023-03-02",""
78,6,6,"INV-2022-03-6-15","2023-03-03","949.05","EUR","PayPal","Paid","2023-03-03","2023-04-01",""
79,6,6,"INV-2022-04-6-16","2023-04-07","949.05","EUR","PayPal","Failed","2023-04-02","2023-05-01","Network Error"
80,6,6,"INV-2022-05-6-17","2023-05-07","949.05","EUR","Bank Transfer","Paid","2023-05-02","2023-05-31",""
81,6,6,"INV-2022-06-6-18","2023-06-04","949.05","EUR","Bank Transfer","Pending","2023-06-01","2023-06-30",""
82,6,6,"INV-2022-07-6-19","2023-07-05","949.05","EUR","SEPA Direct Debit","Pending","2023-07-01","2023-07-30",""
83,6,6,"INV-2022-08-6-20","2023-07-31","949.05","EUR","PayPal","Paid","2023-07-31","2023-08-29",""
84,6,6,"INV-2022-09-6-21","2023-08-30","949.05","EUR","PayPal","Paid","2023-08-30","2023-09-28",""
85,6,6,"INV-2022-10-6-22","2023-09-29","949.05","EUR","PayPal","Paid","2023-09-29","2023-10-28",""
86,6,6,"INV-2022-11-6-23","2023-11-03","949.05","EUR","Card","Pending","2023-10-29","2023-11-27",""
87,6,6,"INV-2022-12-6-24","2023-12-01","949.05","EUR","SEPA Direct Debit","Paid","2023-11-28","2023-12-27",""
88,7,7,"INV-2021-01-7-1","2022-02-15","599.00","EUR","PayPal","Paid","2022-02-13","2022-03-14",""
89,7,7,"INV-2021-02-7-2","2022-03-20","599.00","EUR","SEPA Direct Debit","Paid","2022-03-15","2022-04-13",""
90,7,7,"INV-2021-03-7-3","2022-04-19","599.00","EUR","PayPal","Paid","2022-04-14","2022-05-13",""
91,7,7,"INV-2021-04-7-4","2022-05-16","599.00","EUR","PayPal","Paid","2022-05-14","2022-06-12",""
92,7,7,"INV-2021-05-7-5","2022-06-17","599.00","EUR","Card","Paid","2022-06-13","2022-07-12",""
93,7,7,"INV-2021-06-7-6","2022-07-14","599.00","EUR","SEPA Direct Debit","Paid","2022-07-13","2022-08-11",""
94,7,7,"INV-2021-07-7-7","2022-08-13","599.00","EUR","PayPal","Paid","2022-08-12","2022-09-10",""
95,7,7,"INV-2021-08-7-8","2022-09-11","599.00","EUR","Card","Paid","2022-09-11","2022-10-10",""
96,7,7,"INV-2021-09-7-9","2022-10-14","599.00","EUR","SEPA Direct Debit","Paid","2022-10-11","2022-11-09",""
97,7,7,"INV-2021-10-7-10","2022-11-10","599.00","EUR","Card","Paid","2022-11-10","2022-12-09",""
98,7,7,"INV-2021-11-7-11","2022-12-12","599.00","EUR","PayPal","Paid","2022-12-10","2023-01-08",""
99,7,7,"INV-2021-12-7-12","2023-01-10","599.00","EUR","PayPal","Paid","2023-01-09","2023-02-07",""
100,7,7,"INV-2022-01-7-13","2023-02-12","599.00","EUR","Bank Transfer","Paid","2023-02-08","2023-03-09",""
101,7,7,"INV-2022-02-7-14","2023-03-11","599.00","EUR","PayPal","Paid","2023-03-10","2023-04-08",""
102,7,7,"INV-2022-03-7-15","2023-04-13","599.00","EUR","PayPal","Paid","2023-04-09","2023-05-08",""
103,7,7,"INV-2022-04-7-16","2023-05-13","599.00","EUR","PayPal","Paid","2023-05-09","2023-06-07",""
104,7,7,"INV-2022-05-7-17","2023-06-13","599.00","EUR","SEPA Direct Debit","Paid","2023-06-08","2023-07-07",""
105,7,7,"INV-2022-06-7-18","2023-07-13","599.00","EUR","PayPal","Paid","2023-07-08","2023-08-06",""
106,7,7,"INV-2022-07-7-19","2023-08-09","599.00","EUR","Bank Transfer","Paid","2023-08-07","2023-09-05",""
107,7,7,"INV-2022-08-7-20","2023-09-06","599.00","EUR","SEPA Direct Debit","Paid","2023-09-06","2023-10-05",""
108,7,7,"INV-2022-09-7-21","2023-10-10","599.00","EUR","PayPal","Paid","2023-10-06","2023-11-04",""
109,7,7,"INV-2022-10-7-22","2023-11-10","599.00","EUR","SEPA Direct Debit","Paid","2023-11-05","2023-12-04",""
110,7,7,"INV-2022-11-7-23","2023-12-06","599.00","EUR","PayPal","Refunded","2023-12-05","2024-01-03","Customer Requested Refund"
111,7,7,"INV-2022-12-7-24","2024-01-04","599.00","EUR","SEPA Direct Debit","Paid","2024-01-04","2024-02-02",""
112,8,8,"INV-2021-01-8-1","2021-03-22","284.05","EUR","SEPA Direct Debit","Paid","2021-03-18","2021-04-16",""
113,8,8,"INV-2021-02-8-2","2021-04-17","284.05","EUR","PayPal","Pending","2021-04-17","2021-05-16",""
114,8,8,"INV-2021-03-8-3","2021-05-19","284.05","EUR","Card","Paid","2021-05-17","2021-06-15",""
115,8,8,"INV-2021-04-8-4","2021-06-20","284.05","EUR","SEPA Direct Debit","Paid","2021-06-16","2021-07-15",""
116,8,8,"INV-2021-05-8-5","2021-07-17","284.05","EUR","SEPA Direct Debit","Paid","2021-07-16","2021-08-14",""
117,8,8,"INV-2021-06-8-6","2021-08-16","284.05","EUR","SEPA Direct Debit","Paid","2021-08-15","2021-09-13",""
118,8,8,"INV-2021-07-8-7","2021-09-19","284.05","EUR","Bank Transfer","Paid","2021-09-14","2021-10-13",""
119,8,8,"INV-2021-08-8-8","2021-10-19","284.05","EUR","Card","Paid","2021-10-14","2021-11-12",""
120,8,8,"INV-2021-09-8-9","2021-11-15","284.05","EUR","Card","Paid","2021-11-13","2021-12-12",""
121,8,8,"INV-2021-10-8-10","2021-12-17","284.05","EUR","Bank Transfer","Paid","2021-12-13","2022-01-11",""
122,8,8,"INV-2021-11-8-11","2022-01-12","284.05","EUR","PayPal","Failed","2022-01-12","2022-02-10","Bank Rejected"
123,8,8,"INV-2021-12-8-12","2022-02-12","284.05","EUR","SEPA Direct Debit","Paid","2022-02-11","2022-03-12",""
124,8,8,"INV-2022-01-8-13","2022-03-17","284.05","EUR","SEPA Direct Debit","Paid","2022-03-13","2022-04-11",""
125,8,8,"INV-2022-02-8-14","2022-04-13","284.05","EUR","PayPal","Paid","2022-04-12","2022-05-11",""
126,8,8,"INV-2022-03-8-15","2022-05-14","284.05","EUR","SEPA Direct Debit","Paid","2022-05-12","2022-06-10",""
127,8,8,"INV-2022-04-8-16","2022-06-11","284.05","EUR","Card","Paid","2022-06-11","2022-07-10",""
128,8,8,"INV-2022-05-8-17","2022-07-12","284.05","EUR","Bank Transfer","Paid","2022-07-11","2022-08-09",""
129,8,8,"INV-2022-06-8-18","2022-08-15","284.05","EUR","PayPal","Paid","2022-08-10","2022-09-08",""
130,8,8,"INV-2022-07-8-19","2022-09-13","284.05","EUR","PayPal","Paid","2022-09-09","2022-10-08",""
131,8,8,"INV-2022-08-8-20","2022-10-09","284.05","EUR","Card","Paid","2022-10-09","2022-11-07",""
132,8,8,"INV-2022-09-8-21","2022-11-11","284.05","EUR","SEPA Direct Debit","Paid","2022-11-08","2022-12-07",""
133,8,8,"INV-2022-10-8-22","2022-12-12","284.05","EUR","SEPA Direct Debit","Paid","2022-12-08","2023-01-06",""
134,8,8,"INV-2022-11-8-23","2023-01-07","284.05","EUR","PayPal","Paid","2023-01-07","2023-02-05",""
135,8,8,"INV-2022-12-8-24","2023-02-06","284.05","EUR","SEPA Direct Debit","Paid","2023-02-06","2023-03-07",""
136,9,9,"INV-2021-01-9-1","2022-08-04","0.00","EUR","Card","Paid","2022-07-31","2023-07-30",""
137,9,9,"INV-2021-02-9-2","2023-08-05","0.00","EUR","SEPA Direct Debit","Paid","2023-07-31","2024-07-29",""
138,9,9,"INV-2021-03-9-3","2024-08-04","0.00","EUR","Bank Transfer","Paid","2024-07-30","2025-07-29",""
139,9,9,"INV-2021-04-9-4","2025-07-30","0.00","EUR","PayPal","Failed","2025-07-30","2026-07-29","Bank Rejected"
140,9,9,"INV-2021-05-9-5","2026-07-30","0.00","EUR","Bank Transfer","Paid","2026-07-30","2027-07-29",""
141,10,10,"INV-2021-01-10-1","2023-06-08","99.00","EUR","PayPal","Paid","2023-06-05","2023-07-04",""
142,10,10,"INV-2021-02-10-2","2023-07-09","99.00","EUR","Bank Transfer","Paid","2023-07-05","2023-08-03",""
143,10,10,"INV-2021-03-10-3","2023-08-07","99.00","EUR","PayPal","Paid","2023-08-04","2023-09-02",""
144,10,10,"INV-2021-04-10-4","2023-09-07","99.00","EUR","SEPA Direct Debit","Paid","2023-09-03","2023-10-02",""
145,10,10,"INV-2021-05-10-5","2023-10-03","99.00","EUR","Bank Transfer","Paid","2023-10-03","2023-11-01",""
146,10,10,"INV-2021-06-10-6","2023-11-05","99.00","EUR","Bank Transfer","Paid","2023-11-02","2023-12-01",""
147,10,10,"INV-2021-07-10-7","2023-12-04","99.00","EUR","SEPA Direct Debit","Paid","2023-12-02","2023-12-31",""
148,10,10,"INV-2021-08-10-8","2024-01-05","99.00","EUR","Card","Failed","2024-01-01","2024-01-30","Bank Rejected"
149,10,10,"INV-2021-09-10-9","2024-02-03","99.00","EUR","Card","Paid","2024-01-31","2024-02-29",""
150,10,10,"INV-2021-10-10-10","2024-03-04","99.00","EUR","Bank Transfer","Paid","2024-03-01","2024-03-30",""
151,10,10,"INV-2021-11-10-11","2024-04-05","99.00","EUR","Card","Paid","2024-03-31","2024-04-29",""
152,10,10,"INV-2021-12-10-12","2024-04-30","99.00","EUR","Bank Transfer","Paid","2024-04-30","2024-05-29",""
153,10,10,"INV-2022-01-10-13","2024-05-31","99.00","EUR","Bank Transfer","Paid","2024-05-30","2024-06-28",""
154,10,10,"INV-2022-02-10-14","2024-06-29","99.00","EUR","Bank Transfer","Paid","2024-06-29","2024-07-28",""
155,10,10,"INV-2022-03-10-15","2024-08-02","99.00","EUR","Bank Transfer","Paid","2024-07-29","2024-08-27",""
156,10,10,"INV-2022-04-10-16","2024-08-30","99.00","EUR","Card","Paid","2024-08-28","2024-09-26",""
157,10,10,"INV-2022-05-10-17","2024-09-29","99.00","EUR","Bank Transfer","Paid","2024-09-27","2024-10-26",""
158,10,10,"INV-2022-06-10-18","2024-10-28","99.00","EUR","Bank Transfer","Paid","2024-10-27","2024-11-25",""
159,10,10,"INV-2022-07-10-19","2024-11-26","99.00","EUR","Card","Paid","2024-11-26","2024-12-25",""
160,10,10,"INV-2022-08-10-20","2024-12-27","99.00","EUR","Bank Transfer","Paid","2024-12-26","2025-01-24",""
161,10,10,"INV-2022-09-10-21","2025-01-29","99.00","EUR","Bank Transfer","Paid","2025-01-25","2025-02-23",""
162,10,10,"INV-2022-10-10-22","2025-02-26","99.00","EUR","PayPal","Paid","2025-02-24","2025-03-25",""
163,10,10,"INV-2022-11-10-23","2025-03-30","99.00","EUR","Card","Paid","2025-03-26","2025-04-24",""
164,10,10,"INV-2022-12-10-24","2025-04-28","99.00","EUR","SEPA Direct Debit","Pending","2025-04-25","2025-05-24",""
165,11,11,"INV-2021-01-11-1","2022-08-11","0.00","EUR","PayPal","Paid","2022-08-07","2022-09-05",""
166,11,11,"INV-2021-02-11-2","2022-09-10","0.00","EUR","Card","Paid","2022-09-06","2022-10-05",""
167,11,11,"INV-2021-03-11-3","2022-10-11","0.00","EUR","SEPA Direct Debit","Paid","2022-10-06","2022-11-04",""
168,11,11,"INV-2021-04-11-4","2022-11-08","0.00","EUR","Card","Paid","2022-11-05","2022-12-04",""
169,11,11,"INV-2021-05-11-5","2022-12-05","0.00","EUR","PayPal","Refunded","2022-12-05","2023-01-03","Customer Requested Refund"
170,11,11,"INV-2021-06-11-6","2023-01-07","0.00","EUR","PayPal","Paid","2023-01-04","2023-02-02",""
171,11,11,"INV-2021-07-11-7","2023-02-08","0.00","EUR","Card","Failed","2023-02-03","2023-03-04","Insufficient Funds"
172,11,11,"INV-2021-08-11-8","2023-03-07","0.00","EUR","Card","Paid","2023-03-05","2023-04-03",""
173,11,11,"INV-2021-09-11-9","2023-04-05","0.00","EUR","SEPA Direct Debit","Paid","2023-04-04","2023-05-03",""
174,11,11,"INV-2021-10-11-10","2023-05-07","0.00","EUR","SEPA Direct Debit","Refunded","2023-05-04","2023-06-02","Customer Requested Refund"
175,11,11,"INV-2021-11-11-11","2023-06-06","0.00","EUR","PayPal","Paid","2023-06-03","2023-07-02",""
176,11,11,"INV-2021-12-11-12","2023-07-03","0.00","EUR","Card","Paid","2023-07-03","2023-08-01",""
177,11,11,"INV-2022-01-11-13","2023-08-07","0.00","EUR","Bank Transfer","Paid","2023-08-02","2023-08-31",""
178,11,11,"INV-2022-02-11-14","2023-09-04","0.00","EUR","Bank Transfer","Paid","2023-09-01","2023-09-30",""
179,11,11,"INV-2022-03-11-15","2023-10-04","0.00","EUR","PayPal","Paid","2023-10-01","2023-10-30",""
180,11,11,"INV-2022-04-11-16","2023-11-03","0.00","EUR","Card","Paid","2023-10-31","2023-11-29",""
181,11,11,"INV-2022-05-11-17","2023-12-02","0.00","EUR","SEPA Direct Debit","Paid","2023-11-30","2023-12-29",""
182,11,11,"INV-2022-06-11-18","2024-01-01","0.00","EUR","PayPal","Pending","2023-12-30","2024-01-28",""
183,11,11,"INV-2022-07-11-19","2024-01-29","0.00","EUR","Card","Paid","2024-01-29","2024-02-27",""
184,11,11,"INV-2022-08-11-20","2024-02-28","0.00","EUR","SEPA Direct Debit","Paid","2024-02-28","2024-03-28",""
185,11,11,"INV-2022-09-11-21","2024-03-30","0.00","EUR","SEPA Direct Debit","Paid","2024-03-29","2024-04-27",""
186,11,11,"INV-2022-10-11-22","2024-05-03","0.00","EUR","SEPA Direct Debit","Paid","2024-04-28","2024-05-27",""
187,11,11,"INV-2022-11-11-23","2024-06-02","0.00","EUR","Card","Failed","2024-05-28","2024-06-26","Network Error"
188,11,11,"INV-2022-12-11-24","2024-06-29","0.00","EUR","SEPA Direct Debit","Paid","2024-06-27","2024-07-26",""
189,12,12,"INV-2021-01-12-1","2023-01-23","299.00","EUR","Bank Transfer","Paid","2023-01-23","2023-02-21",""
190,12,12,"INV-2021-02-12-2","2023-02-23","299.00","EUR","Bank Transfer","Paid","2023-02-22","2023-03-23",""
191,12,12,"INV-2021-03-12-3","2023-03-24","299.00","EUR","SEPA Direct Debit","Paid","2023-03-24","2023-04-22",""
192,12,12,"INV-2021-04-12-4","2023-04-23","299.00","EUR","Bank Transfer","Paid","2023-04-23","2023-05-22",""
193,12,12,"INV-2021-05-12-5","2023-05-26","299.00","EUR","Card","Paid","2023-05-23","2023-06-21",""
194,12,12,"INV-2021-06-12-6","2023-06-26","299.00","EUR","Card","Failed","2023-06-22","2023-07-21","Bank Rejected"
195,12,12,"INV-2021-07-12-7","2023-07-23","299.00","EUR","SEPA Direct Debit","Paid","2023-07-22","2023-08-20",""
196,12,12,"INV-2021-08-12-8","2023-08-23","299.00","EUR","Bank Transfer","Paid","2023-08-21","2023-09-19",""
197,12,12,"INV-2021-09-12-9","2023-09-21","299.00","EUR","PayPal","Paid","2023-09-20","2023-10-19",""
198,12,12,"INV-2021-10-12-10","2023-10-20","299.00","EUR","Card","Paid","2023-10-20","2023-11-18",""
199,12,12,"INV-2021-11-12-11","2023-11-19","299.00","EUR","Bank Transfer","Paid","2023-11-19","2023-12-18",""
200,12,12,"INV-2021-12-12-12","2023-12-22","299.00","EUR","SEPA Direct Debit","Paid","2023-12-19","2024-01-17",""
201,12,12,"INV-2022-01-12-13","2024-01-19","299.00","EUR","SEPA Direct Debit","Paid","2024-01-18","2024-02-16",""
202,12,12,"INV-2022-02-12-14","2024-02-21","299.00","EUR","Card","Paid","2024-02-17","2024-03-17",""
203,12,12,"INV-2022-03-12-15","2024-03-19","299.00","EUR","Card","Paid","2024-03-18","2024-04-16",""
204,12,12,"INV-2022-04-12-16","2024-04-22","299.00","EUR","PayPal","Paid","2024-04-17","2024-05-16",""
205,12,12,"INV-2022-05-12-17","2024-05-22","299.00","EUR","PayPal","Paid","2024-05-17","2024-06-15",""
206,12,12,"INV-2022-06-12-18","2024-06-19","299.00","EUR","Card","Paid","2024-06-16","2024-07-15",""
207,12,12,"INV-2022-07-12-19","2024-07-18","299.00","EUR","SEPA Direct Debit","Paid","2024-07-16","2024-08-14",""
208,12,12,"INV-2022-08-12-20","2024-08-20","299.00","EUR","PayPal","Paid","2024-08-15","2024-09-13",""
209,12,12,"INV-2022-09-12-21","2024-09-18","299.00","EUR","Card","Paid","2024-09-14","2024-10-13",""
210,12,12,"INV-2022-10-12-22","2024-10-15","299.00","EUR","Card","Paid","2024-10-14","2024-11-12",""
211,12,12,"INV-2022-11-12-23","2024-11-13","299.00","EUR","Bank Transfer","Paid","2024-11-13","2024-12-12",""
212,12,12,"INV-2022-12-12-24","2024-12-14","299.00","EUR","SEPA Direct Debit","Paid","2024-12-13","2025-01-11",""
213,13,13,"INV-2021-01-13-1","2023-04-02","299.00","EUR","PayPal","Paid","2023-03-31","2023-04-29",""
214,13,13,"INV-2021-02-13-2","2023-05-05","299.00","EUR","Bank Transfer","Paid","2023-04-30","2023-05-29",""
215,13,13,"INV-2021-03-13-3","2023-06-02","299.00","EUR","Bank Transfer","Paid","2023-05-30","2023-06-28",""
216,13,13,"INV-2021-04-13-4","2023-07-03","299.00","EUR","SEPA Direct Debit","Paid","2023-06-29","2023-07-28",""
217,13,13,"INV-2021-05-13-5","2023-07-29","299.00","EUR","Card","Paid","2023-07-29","2023-08-27",""
218,13,13,"INV-2021-06-13-6","2023-08-31","299.00","EUR","Card","Paid","2023-08-28","2023-09-26",""
219,13,13,"INV-2021-07-13-7","2023-09-29","299.00","EUR","PayPal","Paid","2023-09-27","2023-10-26",""
220,13,13,"INV-2021-08-13-8","2023-11-01","299.00","EUR","SEPA Direct Debit","Paid","2023-10-27","2023-11-25",""
221,13,13,"INV-2021-09-13-9","2023-11-26","299.00","EUR","SEPA Direct Debit","Paid","2023-11-26","2023-12-25",""
222,13,13,"INV-2021-10-13-10","2023-12-27","299.00","EUR","PayPal","Paid","2023-12-26","2024-01-24",""
223,13,13,"INV-2021-11-13-11","2024-01-30","299.00","EUR","PayPal","Failed","2024-01-25","2024-02-23","Insufficient Funds"
224,13,13,"INV-2021-12-13-12","2024-02-24","299.00","EUR","PayPal","Paid","2024-02-24","2024-03-24",""
225,13,13,"INV-2022-01-13-13","2024-03-29","299.00","EUR","SEPA Direct Debit","Paid","2024-03-25","2024-04-23",""
